Outlet;Total;Web3;KI;2016;2017;2018;2019;2020;2021;2022
NMZ;4869;2;21;0;0;1;0;0;0;1
SaR;608;0;3;0;0;0;0;0;0;0
MuB;337;0;0;0;0;0;0;0;0;0
MW;3524;42;37;5;8;2;12;2;2;11
RON;1006;0;0;0;0;0;0;0;0;0
Gro;;4;30;0;1;0;0;0;2;1
Backspin;;3;3;0;0;1;0;0;0;2
Summe;10344;51;94;5;9;4;12;2;4;15
